X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-7.128711,42.38814,Puente de la Cigarrosa,España,Ourense,Petín,A Ponte
-8.570056,42.461278,Puente colgante de Calvelo,España,Pontevedra,Pontevedra,Calvelo
-7.214515,42.333786,Ponte Bibei,España,Ourense,A Pobra de Trives,Entorno rural
-8.435338,42.435085,Ponte de San Lourenzo,España,Pontevedra,A Lama,Sualomba
-7.54806,42.316266,Ponte de Vilariño Frío,España,Ourense,Montederramo,Vilariño Frío
-8.30425,42.317889,Ponte Abuiña,España,Pontevedra,Covelo,Bustelo
-8.206619,42.681347,Ponte Tabaoda Nova,España,Pontevedra,Lalín,A Ponte Taboada
-8.1450427,42.1825503,Ponte Trado,España,Ourense,Cortegada,A Ponte Trado
-8.1362021,42.2442612,Ponte de Oliveira,España,Ourense,Outeiro Cruz,A Ponte
-8.1327742,42.1660118,Ponte Deva,España,Ourense,Aldea de Deva,A Ponte
-8.1351614,42.1724846,Ponte Ballote,España,Ourense,Aldea de Deva,A Veiga
-8.1902432,42.2133418,Ponte Filgueira,España,Ourense,Crecente,O Outeiro
-8.1889665,42.2143748,Ponte Filgueira Novo,España,Ourense,Crecente,O Sifón
-8.336944,42.7942316,Ponte Ledesma,España,Pontevedra,Vila de Cruces,A Ponte
-8.3933938,42.7849685,Ponte de Gundián,España,A Coruña,Vedra,Caldelas
-8.3944559,42.7837874,Viaducto del Ulla,España,A Coruña,Vedra,Caldelas
-8.4155327,42.3459609,Ponte Anceu,España,Pontevedra,A Lama,O Eido de Baixo
-8.4165251,42.345168,Pontella do Couñago,España,Pontevedra,A Lama,O Eido de Baixo
-8.4445596,42.4794245,Ponte Serrapio,España,Pontevedra,Cerdedo Cotobade,Entorno rural
-8.095749,41.8745181,Puente de Vilameá,España,Ourense,Lobios,Vilameá
-7.0051199,42.9650279,Ponte de A Proba,España,Lugo,A Proba,Grandela
-8.6470556,42.0364806,Puente Internacional,Portugal,Viana do Castelo,Valencia de Miño,Entorno rural
-8.1154472,42.4218092,Ponterriza,España,Ourense,O Carballiño,Ponterriza
-7.9988086,42.908443,Ponte Furelos,España,A Coruña,Melide,Furelos
-8.2127041,42.2545021,"Ponte ""Romana""",España,Ourense,Melón,Penavaqueira
-8.2180685,42.2547443,A Ponte,España,Ourense,Melón,A Ponte
-8.8179821,41.9837072,Pontella de Loureza,España,Pontevedra,Oia,Loureza
-8.5565257,42.7458303,Puente Colgante do Xirimbao,España,Pontevedra,A Estrada,Entorno rural
-8.237721,42.1824668,Ponte Noceifas,España,Pontevedra,A Caniza,A Trovisca
-7.7061796,42.6930031,Puente Mourelle,España,Lugo,Taboada,O Regato
-8.1926411,42.218746,Puente de San Xosé,España,Ourense,Crecente,A Raxeira
-8.3134317,42.3243412,Pontella de Salcedo,España,Pontevedra,Covelo,Salcedo
-7.5107914,42.3464882,Puente de Conceliños,España,Ourense,Parada de Sil,Parada de Sil
