X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-9.0450586,42.603424726168,Miradoiro do Monte Taúme,España,A Coruña,O Porto do Son,Prado de Cima
-7.0759932,42.197950926168,Castaño de Hedroso,España,Ourense,Viana del Bollo,Hedroso
-7.2462479,42.066818626168,Bambán de Vilariño de Conso,España,Ourense,Vilariño de Conso,A Venda da Capela
-8.1089013,41.940714526168,Mirador O Pedreiriño,España,Ourense,A Terrachán,Venceáns
-7.9255998,42.112340426168,Mirador de O Briñal,España,Ourense,Verea,A Cruz
-7.8583414,42.152539326168,Mirador de San Cibrao,España,Ourense,Rairiz de Veiga,Rairiz de Veiga
-7.8833141,42.197770126168,Mirador Airiña da Lera,España,Ourense,A Merca,Olás
-7.8836681,42.198627026168,Mirador Terras de Celanova,España,Ourense,A Merca,Olás
-7.8861915,42.202951826168,Inicio ruta Canal do Ruca,España,Ourense,A Merca,Rubillós
-8.8113094,42.055645226168,Mirador Boca da Groba,España,Pontevedra,Baiona,Entorno rural
-7.9654665,42.006380826168,Mirador de O Xurés,España,Ourense,Bande,Xordos
-8.9450563,43.227077226168,Mirador Punta Taboído,España,A Coruña,A Carballa,Taboído
-8.9903945,43.274946926168,Punta Roncudo,España,A Coruña,Ponteceso,O Cairo
-7.5252757,43.735773226168,Punta Roncadoira,España,Lugo,Xove,O Barral
-7.692984,42.438613726168,Mirador Pena Pombeiro,España,Ourense,Nogueira de Ramuín,O Coitelo
-7.6945499,42.442156626168,Mirador de A Cruz,España,Ourense,Pantón,O Souto
-7.6573953,42.430287726168,Mirador Pena do conde,España,Ourense,Pantón,A Chaira
-7.0808708,42.329469526168,Mirador de Salesa,España,Ourense,El Bollo,El Bollo
-7.0739279,42.334820226168,Mirador da Fraga,España,Ourense,El Bollo,El Bollo
-7.9032688,42.315991626168,Penedo do Tangaraño,España,Ourense,Barbadás,A Parada
-7.9083463,42.319559426168,Mirador Cova do Lobo,España,Ourense,Barbadás,A Parada
-7.6296333,42.348770526168,Mirador Campo do Eirado,España,Ourense,Parada de Sil,O Couto
-8.4384667,42.223600526168,Carballo da Armada,España,Pontevedra,Mondariz,Aqueleido
-8.6949586,42.319366626168,Mirador do Candón Pequeno,España,Pontevedra,Moaña,Carballido
-8.6931501,42.318858226168,Miradoiro Candón Grande,España,Pontevedra,Moaña,Carballido
-7.9870411,42.330417526168,Mirador de Puga,España,Ourense,Toén,Feá
-8.4128083,42.134379126168,Mirador de San Nomedio,España,Pontevedra,As Neves,O Cotiño
-7.5198332,42.638653326168,Mirador Alto del Coto,España,Lugo,Bóveda,A Raíña
-7.51032,42.634101726168,Mirador Serra de Penas,España,Lugo,Bóveda,A Raíña
-7.670603,42.565180026168,Miradoiro Cabo do Mundo II,España,Lugo,O Saviñao,San Mamede
-7.6205871,42.367998926168,Mirador do Xuguiño ou Chan de Madeiros,España,Ourense,Parada de Sil,O Couto
-7.753635,42.394612026168,Mirador do Pendulo,España,Ourense,Nogueira de Ramuín,Entorno rural
