X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-8.809104,42.256714,Playa de O Porto,España,Pontevedra,Cangas,O Cunchido
-8.837385,42.258159,Playa de Nerga,España,Pontevedra,Cangas de Morrazo,Entorno rural
-8.714639,42.390417,Playa de Portocelo,España,Pontevedra,Marín,Portocelo
-8.826722,42.333867,Playa do Ancoradoiro,España,Pontevedra,Bueu,Entorno rural
-8.78181,42.202741,Playa da Calzoa,España,Pontevedra,Vigo,A Silveira
-8.813953,42.259715,Playa de Liméns,España,Pontevedra,Cangas,O Cunchido
-8.808846,42.190134,Playa de A Sobreira,España,Pontevedra,Vigo,Cabo Estai
-8.811893,42.190071,Playa de A Buraca,España,Pontevedra,Vigo,Cabo Estai
-8.825583,42.324603,Playa de Lagos,España,Pontevedra,Bueu,Entorno rural
-8.822236,42.33742,Playa de A Mourisca,España,Pontevedra,Bueu,Sar
-8.705335,42.255419,Playa de A Lagoa,España,Pontevedra,Vigo,Fontáns
-8.803847,42.400517,Playa de Panadeira,España,Pontevedra,Sanxenxo,Padriñán
-7.158004,43.554017,Playa de la Catedrales,España,Lugo,Ribadeo,Carriceiras
-8.800178,42.332598,Playa de Beluso,España,Pontevedra,Bueu,A Praia de Beluso
-8.774385,42.331297,Playa de Loureiro,España,Pontevedra,Bueu,Loureiro
-8.788462,42.327109,Playa de Banda do Río,España,Pontevedra,Bueu,Pescadoira
-8.813524,42.337547,Playa de Tuia,España,Pontevedra,Bueu,O Cabalo
-8.768892,42.334311,Playa de Agrelo,España,Pontevedra,Bueu,Agrelo
-8.696977,42.281052,Playa de A Borna,España,Pontevedra,Moaña,Isamil
-8.752509,42.342504,Playa de Lapamán,España,Pontevedra,Bueu,Sabarigo
-8.72794,42.286318,Playa de A Xunqueira,España,Pontevedra,Moaña,Reibón
-8.746136,42.269473,Playa de O Río da Ribeira,España,Pontevedra,Moaña,O Igrexario
-8.764858,42.336342,Playa de Portomaior,España,Pontevedra,Bueu,Agrelo
-8.7512,42.268163,Playa da Videira,España,Pontevedra,Moaña,O Igrexario
-8.825562,42.391658,Playa de Caneliñas,España,Pontevedra,Sanxenxo,Vista Alegre
-8.832064,42.389487,Playa e Canelas,España,Pontevedra,Sanxenxo,Canelas
-8.753593,42.265146,Playa do Niño do Corvo,España,Pontevedra,Moaña,Vilela
-8.811808,42.400881,Playa de Silgar,España,Pontevedra,Sanxenxo,Padriñán
-8.685551,43.296574,Playa de Razo,España,A Coruña,Carballo,O Outeiro
-8.823287,42.397728,Playa de Baltar,España,Pontevedra,Sanxenxo,Baltar
-8.806272,42.399455,Playa de Os Barcos,España,Pontevedra,Sanxenxo,Padriñán
-8.751389,42.347972,Playa do Santo,España,Pontevedra,Marín,Casás
-8.858371,42.403971,Playa de Bascuas,España,Pontevedra,Sanxenxo,Pragueira
-8.843801,42.391373,Playa de Paxariñas,España,Pontevedra,Sanxenxo,Canelas
-8.862469,42.409104,Playa de Pragueira,España,Pontevedra,Sanxenxo,Pragueira
-8.866761,42.412843,Playa de Major,España,Pontevedra,Sanxenxo,Pragueira
-7.991639,42.912806,Playa do Furelos,España,A Coruña,Melide,As Casas da Mámoa
-8.5365,42.444111,Playa de Xesteira,España,Pontevedra,A Chan,A Ponte Borela
-8.479407,42.471701,Playa de A Chan,España,Pontevedra,A Chan,A Ponte Borela
-8.730944,42.375,Playa de Aguete,España,Pontevedra,Marín,Aguete
-8.720111,42.385389,Playa de Mogor,España,Pontevedra,Marín,Bagüín
-8.740361,42.368139,Playa de Loira,España,Pontevedra,Marín,Montecelo
-8.770351,42.261526,Playa de Rodeira,España,Pontevedra,Cangas,O Espírito Santo
-8.2083,42.616465,Playa de O Pozo do Boi,España,Pontevedra,Lalín,Barciela
-8.818846,42.31429,Playa de Area de Bon,España,Pontevedra,Bueu,Bon de Abaixo
-8.692503,42.257198,Playa de Ríos de Dentro,España,Pontevedra,Vigo,As Hortas
-8.784513,42.200944,Playa do Fuchiño,España,Pontevedra,Vigo,A Silveira
-8.694316,42.257809,Playa de Ríos de Fora,España,Pontevedra,Vigo,Gondesende
-8.850979,42.301555,Playa de Rabáns,España,Pontevedra,Cangas de Morrazo,Rabáns
-8.775995,42.220302,Playa do Tombo do Gato,España,Pontevedra,Vigo,As Fontes
-8.776145,42.216282,Playa da Argazada,España,Pontevedra,Vigo,As Pertegueiras
-8.2099628,43.3595096,Playa Grande de Miño,España,A Coruña,A Carreira,Castro
-8.444345,42.4141738,Playa de O Verdugo,España,Pontevedra,A Lama,Entorno rural
-8.5000384,42.465362,Playa fluvial de O Pozo Negro,España,Pontevedra,Cerdedo Cotobade,O Facho
-8.5291511,42.4842709,Playa fluvial de Cabanelas,España,Pontevedra,Cerdedo Cotobade,A Costa
-8.5743141,42.4586581,Playa de Calvelo,España,Pontevedra,Cerdedo Cotobade,Calvelo
-8.38274,42.3496322,Playa de A Laxe,España,Pontevedra,Fornelos de Montes,A Airoa
-8.2573092,42.7622755,Playa fluvial de A Carixa,España,Pontevedra,Vila de Cruces,Reboredo
-7.983005,41.9632716,Playa de O Corgo,España,Ourense,Mugueimes,As Casas da Lama
-8.8118291,41.9989219,Pozas de Loureza,España,Pontevedra,Oia,Refoxos
-8.8683808,41.8727325,Playa de O Muíño,España,Pontevedra,A Guarda,A Praia
-8.3949548,42.0734795,Playa de Ponte do Mouro,Portugal,Viana do Castelo,Ceivães e Badim,Aspras
-8.4606528,42.2360482,Playa Fluvial de O Val,España,Pontevedra,Mondariz,Portacurbo
-8.5021573,42.0372854,Playa de Pinheiros,Portugal,Viana do Castelo,Pinheiros,Piñeiros
-9.0105277,43.2266528,Playa de los Cristales,España,A Coruña,Laxe,O Campo
-9.0021586,43.2185002,Playa de Laxe,España,A Coruña,Laxe,Os Peñascales
-8.4299485,42.74684,Playa fluvial de Berres,España,A Coruña,A Estrada,A Ribeira
-8.0460849,42.2133354,Playa fluvial de A Pontenova,España,Ourense,Cartelle,O Peto
-8.9265499,43.2827102,Praia da Barda,España,A Coruña,Ponteceso,Ponteceso
-8.0924665,41.9421921,Playa fluvial y área recreativa As Perdices,España,Ourense,A Terrachán,Olín
-8.4485961,42.3511661,Playa Fluvial de Vilán,España,Pontevedra,A Igrexa,O Portovilán
-8.8992007,42.1120174,Playa de los Cristales de Silleiro,España,Pontevedra,Baiona,Entorno rural
