X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-7.794832,42.243062026168,Monte do Señoriño,España,Ourense,Allariz,Outeiro de Laxe
-7.793555,42.243991026168,Penedo da Moura,España,Ourense,Allariz,Armeá
-7.79362,42.244611026168,Pioucas da Santa,España,Ourense,Allariz,Outeiro de Laxe
-7.793373,42.245818026168,Castro de Armeá,España,Ourense,Allariz,Outeiro de Laxe
-8.618671,42.704096026168,Petroglifos Pedra da Serpe,España,Pontevedra,Puentecesures,Grobas
-8.861347,42.276296026168,Monte O Facho,España,Pontevedra,Cangas de Morrazo,Donón
-8.446489,42.807097026168,Cova do Pico,España,A Coruña,Boqueixón,Entorno rural
-9.014627,43.009872026168,Dolmen da Pedra da Arca,España,A Coruña,Vimianzo,A Bouza
-7.298527,43.603765026168,Castro de Fazouro,España,Lugo,Foz,Picón
-8.718021,42.385556026168,Laberintos de Mogor,España,Pontevedra,Marín,Bagüín
-8.441164,42.534630026168,Coto das Ínsuas,España,Pontevedra,Cerdedo Cotobade,Serrapio
-8.754599,42.164991026168,Monte do Castro de Chandebrito,España,Pontevedra,Nigrán,A Igrexa
-9.032529,42.695141026168,Castro de Baroña,España,A Coruña,O Porto do Son,O Castro
-8.583178,42.569256026168,Lapa de Gargantáns,España,Pontevedra,Moraña,Suigrexa
-8.490347,42.213970026168,Castro de Troña,España,Pontevedra,Ponteareas,Troncoso
-8.766325,42.177539026168,Pedra Moura,España,Pontevedra,Vigo,Fragoselo
-8.727921,42.231797026168,Poblado do Castro,España,Pontevedra,Vigo,O Berbés
-8.853559,42.007897026168,Pía da Portela,España,Pontevedra,Oia,A Portela
-8.570056,42.461278026168,Alto da Cruz do Castro,España,Pontevedra,Pontevedra,Calvelo
-7.820522,42.240659026168,Monte do Castro,España,Ourense,Taboadela,O Castro
-8.625472,42.264556026168,Castro de Negros,España,Pontevedra,Redondela,Negros
-8.811965,42.027935026168,Castelo de Lousado,España,Pontevedra,Oia,Bonaval
-8.708639,42.381917026168,Castro da Subidá,España,Pontevedra,Marín,Cidrás
-8.840075,42.097263026168,Petroglifos de O Outeiro dos Lameiros,España,Pontevedra,Baiona,A Guillada
-7.794285,42.243149026168,Roteiro Arqueológico de Armeá,España,Ourense,Allariz,Outeiro de Laxe
-8.552667,42.542806026168,Castro de Penalba,España,Pontevedra,O Campo Lameiro,Soar
-8.322861,42.363861026168,Lapa de Valdehome,España,Pontevedra,Fornelos de Montes,Pigarzos
-7.63346,42.410665026168,Castro de Xabrega,España,Ourense,Sober,Sober
-8.2532,42.696425026168,Castro de Toiriz,España,Pontevedra,Silleda,Costela
-8.739377,42.523594026168,Castro de Ribadumia,España,Pontevedra,A Escusa,A Bouza
-8.615524,42.689675026168,Capela dos Mártores,España,Pontevedra,Valga,As Laceiras
-8.396333,42.162528026168,Castro da Cividá,España,Pontevedra,As Neves,A Pena
-8.770437,42.592332026168,Castro de Alobre,España,Pontevedra,Vilagarcía,O Porto do Río
-8.781713,42.524076026168,Castro do Con das Sete Pías,España,Pontevedra,Cambados,Casas do Monte
-7.941967,41.927665026168,Casiña dos Mouros,España,Ourense,Muíños,As Maus
-8.070833,42.552717026168,Menhir Brañas de Lagorzos,España,Pontevedra,O Castro,Cadaval
-8.6207459,42.494166226168,Outeiro do Castro,España,Pontevedra,Pontevedra,As Pedrosas
-8.6809802,42.391293926168,Espazo Arqueológico dos Sete Camiños,España,Pontevedra,Marín,O Regueiriño
-8.3800578,42.475388926168,Alto da Cruz do Seixo,España,Pontevedra,A Lama,A Perdiz
-8.3832657,42.473173226168,Porta do Alén,España,Pontevedra,A Lama,A Perdiz
-8.3843011,42.472874426168,Marco do Vento,España,Pontevedra,A Lama,A Perdiz
-8.4761882,42.481094126168,Alto da Cruz,España,Pontevedra,A Chan,O Lombo
-8.351841,42.166266326168,Coto da Vella - A Franqueira,España,Pontevedra,A Caniza,A Igrexa
-8.3565187,42.160540426168,Chan de Marco,España,Pontevedra,A Caniza,A Igrexa
-8.78825000000006,42.183000026168,Muíños de Gontade,España,Pontevedra,Vigo,Gontade
-8.6737463,42.244463726168,Dolmen de Candeán,España,Pontevedra,Vigo,A Devesa
-8.6736202,42.198591726168,Castro do Pouso,España,Pontevedra,Vigo,As Regadas
-8.7538344,42.157391026168,Petroglifos de As Tomadas,España,Pontevedra,Nigrán,Pracíns
-8.6188401,42.573435226168,Pedra da Grada,España,Pontevedra,Santa Lucía de Moraña,Santa Margarida
-8.4794712,42.506155926168,Restos Capilla de San Lourenzo,España,Pontevedra,Cerdedo Cotobade,Entorno rural
-8.522357,42.330042226168,Petroglifos de Xampardiño,España,Pontevedra,Fornelos de Montes,Entorno rural
-7.687372,42.225538126168,Petroglifos de San Vitorio,España,Ourense,Baños de Molgas,Presqueira
-8.8853967,42.059887726168,Castro da Cabeciña,España,Pontevedra,Oia,A Mata
-8.7987399,42.098047326168,Castro de Pena Moura,España,Pontevedra,Gondomar,A Tomada
-8.7872104,42.169928226168,Petroglifos do Alto da Bandeira,España,Pontevedra,Vigo,Cal de Outeiro
-8.8480979,42.150534926168,Petroglifos da Penizas Pequenas,España,Pontevedra,Nigrán,Xermaña
-8.7917072,41.931231226168,Petroglifos do Ghorgalado,España,Pontevedra,O Rosal,A Rúa da Cal
-8.646833,42.274038126168,Petroglifos Poza da Lagoa,España,Pontevedra,Redondela,Trasmañó
-8.443885,42.040575226168,Castro de São Caetano,Portugal,Viana do Castelo,Monção,Guimil
-8.3613306,42.064822226168,Castro de Nossa Senhora da Graça,Portugal,Viana do Castelo,Ceivães e Badim,Badim
-8.3717591,42.064535526168,Cruceiro ,Portugal,Viana do Castelo,Ceivães e Badim,Paderne
