id_uri,Name,lat,lon,concello,provincia,LUGAR_E_PARROQUIA,lon_gis,lat_gis,country,tipo_slug,pais,id_concello,id_provincia
yacimientos-museo-arqueoloxico-42.3354--7.8636,Museo Arqueolóxico,42.335447026168,-7.863609,Ourense,Ourense,Casco Vello,-7.863609,42.335447026168,España,yacimientos,España,ourense-ourense-espana,ourense
yacimientos-necropolis-de-san-vitor-42.3737--7.5029,Necrópolis De San Vitor,42.373732126168,-7.5028789,Parada De Sil,Ourense,San Lourenzo,-7.5028789,42.373732126168,España,yacimientos,España,parada-de-sil-ourense-espana,ourense
yacimientos-ermita-das-portas-abertas-41.8765--7.309,Ermita Das Portas Abertas,41.876503026168,-7.30903,Vilardevós,Ourense,Arzádegos,-7.30903,41.876503026168,España,yacimientos,España,vilardevos-ourense-espana,ourense
yacimientos-sartego-da-laxe-sarcofago-42.2785--8.8155,Sartego Da Laxe (Sarcófago),42.278535026168,-8.815462,Cangas De Morrazo,Pontevedra,San Cibrán,-8.815462,42.278535026168,España,yacimientos,España,cangas-de-morrazo-pontevedra-espana,pontevedra
yacimientos-muelle-de-a-covasa-42.5194--9.0256,Muelle De A Covasa,42.519381026168,-9.025626,Aguiño,A Coruña,A Covasa,-9.025626,42.519381026168,España,yacimientos,España,aguino-a-coruna-espana,a-coruna
yacimientos-igrexa-vella-42.6896--8.6823,Igrexa Vella,42.689557026168,-8.682269,Valga,Pontevedra,Balleas,-8.682269,42.689557026168,España,yacimientos,España,valga-pontevedra-espana,pontevedra
yacimientos-castro-da-cida-42.5607--9.0143,Castro Da Cidá,42.560722026168,-9.014262,Santa Uxía De Ribeira,A Coruña,A Granxa,-9.014262,42.560722026168,España,yacimientos,España,santa-uxia-de-ribeira-a-coruna-espana,a-coruna
yacimientos-castro-de-altamira-42.1252--8.4287,Castro De Altamira,42.125228026168,-8.428693,As Neves,Pontevedra,A Rata,-8.428693,42.125228026168,España,yacimientos,España,as-neves-pontevedra-espana,pontevedra
yacimientos-castro-do-alto-da-medona-42.172--8.7985,Castro Do Alto Da Medoña,42.171952026168,-8.798456,Vigo,Pontevedra,Estea,-8.798456,42.171952026168,España,yacimientos,España,vigo-pontevedra-espana,pontevedra
yacimientos-muinos-naviculares-de-estea-42.1725--8.7977,Muíños Naviculares De Estea,42.172497026168,-8.797715,Vigo,Pontevedra,Desteriz,-8.797715,42.172497026168,España,yacimientos,España,vigo-pontevedra-espana,pontevedra
yacimientos-necropolis-de-adro-vello-42.4777--8.9307,Necrópolis De Adro Vello,42.477703026168,-8.930725,O Grove,Pontevedra,A Igrexa,-8.930725,42.477703026168,España,yacimientos,España,o-grove-pontevedra-espana,pontevedra
yacimientos-sta-marina-dozo-42.512--8.8074,Sta Mariña Dozo,42.511952026168,-8.807437,Cambados,Pontevedra,Santa Mariña Dozo,-8.807437,42.511952026168,España,yacimientos,España,cambados-pontevedra-espana,pontevedra
yacimientos-torre-de-hercules-43.3859--8.4065,Torre De Hércules,43.385908026168,-8.406491,La Coruña,A Coruña,As Lagoas,-8.406491,43.385908026168,España,yacimientos,España,la-coruna-a-coruna-espana,a-coruna
yacimientos-villa-de-toralla-42.1962--8.7951,Villa De Toralla,42.196220026168,-8.795086,Vigo,Pontevedra,Canido,-8.795086,42.196220026168,España,yacimientos,España,vigo-pontevedra-espana,pontevedra
yacimientos-arco-visigotico-de-san-xoan-42.1452--8.8237,Arco Visigótico De San Xoan,42.145234026168,-8.823727,Nigrán,Pontevedra,A Madorra,-8.823727,42.145234026168,España,yacimientos,España,nigran-pontevedra-espana,pontevedra
yacimientos-petroglifos-de-chan-da-cruz-42.2683--8.6379,Petroglifos De Chan Da Cruz,42.268333026168,-8.637884,Redondela,Pontevedra,Trasmañó,-8.637884,42.268333026168,España,yacimientos,España,redondela-pontevedra-espana,pontevedra
yacimientos-mamoa-da-moura-42.2644--8.6365,Mamoa Da Moura,42.264434026168,-8.636548,Redondela,Pontevedra,Trasmañó,-8.636548,42.264434026168,España,yacimientos,España,redondela-pontevedra-espana,pontevedra
yacimientos-petroglifos-de-outeiro-da-criba-42.4552--8.7337,Petroglifos De Outeiro Da Criba,42.455159026168,-8.733748,Meis,Pontevedra,Entorno Rural,-8.733748,42.455159026168,España,yacimientos,España,meis-pontevedra-espana,pontevedra
yacimientos-termas-41.9792--7.9821,Termas,41.979182026168,-7.982058,Bande,Ourense,O Baño,-7.982058,41.979182026168,España,yacimientos,España,bande-ourense-espana,ourense
yacimientos-campamento-romano-da-ciadella-43.0842--8.0436,Campamento Romano Da Ciadella,43.084242726168,-8.0436332,Sobrado,A Coruña,Gundín,-8.0436332,43.084242726168,España,yacimientos,España,sobrado-a-coruna-espana,a-coruna
yacimientos-mansion-romana-41.9771--7.9811,Mansión Romana,41.977054026168,-7.981116,Bande,Ourense,Os Chaos,-7.981116,41.977054026168,España,yacimientos,España,bande-ourense-espana,ourense
yacimientos-centro-de-interpretacion-41.9718--7.9849,Centro De Interpretación,41.971821026168,-7.984947,Bande,Ourense,Porto Quintela,-7.984947,41.971821026168,España,yacimientos,España,bande-ourense-espana,ourense
yacimientos-castro-de-negros-42.2644--8.626,Castro De Negrós,42.264373026168,-8.626,Redondela,Pontevedra,Negros,-8.626,42.264373026168,España,yacimientos,España,redondela-pontevedra-espana,pontevedra
yacimientos-aquis-querquennis-41.9738--7.9809,Aquis Querquennis,41.973759026168,-7.980917,Bande,Ourense,Os Chaos,-7.980917,41.973759026168,España,yacimientos,España,bande-ourense-espana,ourense
yacimientos-castro-de-carreiro-42.479--8.9365,Castro De Carreiro,42.478993026168,-8.936535,O Grove,Pontevedra,O Carreiro,-8.936535,42.478993026168,España,yacimientos,España,o-grove-pontevedra-espana,pontevedra
yacimientos-monte-da-cidade-42.3266--8.4886,Monte Da Cidade,42.326622026168,-8.488636,Pazos,Pontevedra,O Gorgoreiro,-8.488636,42.326622026168,España,yacimientos,España,pazos-pontevedra-espana,pontevedra
yacimientos-dolmen-de-chan-de-arquina-42.3198--8.6987,Dolmen De Chan De Arquiña,42.319773026168,-8.698664,Moaña,Pontevedra,Entorno Rural,-8.698664,42.319773026168,España,yacimientos,España,moana-pontevedra-espana,pontevedra
yacimientos-miliarios-41.8341--8.1194,Miliarios,41.834078026168,-8.119426,Lobios,Ourense,Entorno Rural,-8.119426,41.834078026168,España,yacimientos,España,lobios-ourense-espana,ourense
yacimientos-aquis-originis-41.8564--8.1072,Aquis Originis,41.856394026168,-8.107229,Lobios,Ourense,Torneiros,-8.107229,41.856394026168,España,yacimientos,España,lobios-ourense-espana,ourense
yacimientos-petroglifos-de-a-caeira-42.4419--8.6609,Petroglifos De A Caeira,42.441900026168,-8.660858,Poio,Pontevedra,Boa Vista,-8.660858,42.441900026168,España,yacimientos,España,poio-pontevedra-espana,pontevedra
yacimientos-mamoas-varias-42.3595--8.6724,Mámoas Varias,42.359541026168,-8.672376,Vilaboa,Pontevedra,A Graña,-8.672376,42.359541026168,España,yacimientos,España,vilaboa-pontevedra-espana,pontevedra
yacimientos-mamoa-do-rei-o-de-castineiras-42.3583--8.6727,Mámoa Do Rei O De Castiñeiras,42.358338026168,-8.672652,Vilaboa,Pontevedra,A Graña,-8.672652,42.358338026168,España,yacimientos,España,vilaboa-pontevedra-espana,pontevedra
yacimientos-castro-de-santome-42.3475--7.83,Castro De Santomé,42.347482026168,-7.829959,Ourense,Ourense,San Tomé,-7.829959,42.347482026168,España,yacimientos,España,ourense-ourense-espana,ourense
yacimientos-mamoas-das-cabanas-42.4223--7.7183,Mámoas Das Cabanas,42.422319226168,-7.7182738,Luíntra,Ourense,O Alcouce,-7.7182738,42.422319226168,España,yacimientos,España,luintra-ourense-espana,ourense
yacimientos-castro-del-galineiro-42.1408--8.7065,Castro Del Galiñeiro,42.140759026168,-8.706506,Gondomar,Pontevedra,Entorno Rural,-8.706506,42.140759026168,España,yacimientos,España,gondomar-pontevedra-espana,pontevedra
yacimientos-castro-de-cubos-42.0662--8.6617,Castro De Cubos,42.066226026168,-8.661663,Tuy,Pontevedra,O Telleiro,-8.661663,42.066226026168,España,yacimientos,España,tuy-pontevedra-espana,pontevedra
